Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8026969481902059,0.6610738255033557,0.5267379679144385,0.5863095238095238,0.8427729985274742
Decision Tree,0.7494677075940384,0.5283018867924528,0.5240641711229946,0.5261744966442953,0.6770311813790073
Random Forest,0.78708303761533,0.6217105263157895,0.5053475935828877,0.5575221238938053,0.8229326513213983
SVM,0.7856635911994322,0.6428571428571429,0.43315508021390375,0.5175718849840255,0.7964711049110026
Gradient Boosting,0.801277501774308,0.6666666666666666,0.5026737967914439,0.573170731707317,0.8427174558888113
XGBoost,0.8019872249822569,0.6567656765676567,0.5320855614973262,0.5878877400295421,0.8452737089565734
