Threshold,Precision,Recall,F1
0.2,0.48163574403634984,0.8508361204013378,0.6150870406189555
0.25,0.5140545144804088,0.8073578595317725,0.6281550871714806
0.3,0.5429256594724221,0.757190635451505,0.6324022346368715
0.35,0.5696544276457883,0.705685618729097,0.6304152972811473
0.39999999999999997,0.6073464217859404,0.6414715719063545,0.623942745608328
0.44999999999999996,0.641044776119403,0.5745819397993311,0.6059964726631394
0.49999999999999994,0.6624149659863946,0.5210702341137123,0.5833021340321977
0.5499999999999999,0.6870611835506519,0.45819397993311034,0.5497592295345104
0.5999999999999999,0.7114914425427873,0.38929765886287626,0.503242542153048
0.6499999999999999,0.7334360554699538,0.3183946488294314,0.44402985074626866
0.7,0.7737373737373737,0.2561872909698997,0.3849246231155779
